mask	genomes
31486	34606
21173	48743
22427	49687
6622	53801
28588	58909
39278	60127
36583	60247
5198	60303
21171	60875
14357	61932
16043	62140
32859	62168
37230	62178
14114	62315
9447	63053
21153	64620
21624	65392
14999	65656
33721	65659
20567	65736
18129	66015
30143	66280
5378	66461
20221	66656
7123	67285
21059	67480
33723	67573
31369	67714
36901	67955
19615	68128
34355	68129
38713	68153
33348	68410
24612	68510
28543	69048
17816	69058
5952	69496
19348	69515
20187	69579
33994	69744
5903	69933
23542	69953
24455	70077
13139	70555
13579	70597
6413	70701
17817	70709
28573	70731
27325	70752
34394	70931
24447	70975
10405	71074
31049	71087
6767	71208
405	71256
23039	71329
10225	71400
28529	71432
38802	71445
20164	71527
22327	71598
4503	71721
26582	71740
39415	71748
38582	71776
26710	71960
21079	72029
20163	72125
4450	72135
31282	72251
28303	72269
17895	72299
21394	72343
3752	72380
29727	72518
20397	72551
11502	72568
29408	72646
4007	72747
9478	72749
27939	72750
12847	72768
4687	72829
27782	72893
11057	72966
25268	73047
31481	73120
31061	73165
15626	73290
31286	73292
17818	73337
39471	73349
16606	73351
31215	73369
16302	73370
28368	73377
13941	73386
26614	73389
39808	73418
24194	73436
34229	73474
5309	73494
30272	73497
36011	73502
6785	73511
14141	73514
23458	73522
1126	73541
34854	73542
31059	73561
31479	73600
787	73602
17665	73616
27818	73632
13954	73671
25105	73693
27436	73744
16431	73746
36512	73754
4635	73827
11832	73828
8775	73829
4204	73859
3353	73861
38748	73910
9246	73924
3518	73949
25832	73966
16053	73992
28274	74003
35836	74085
17933	74089
16004	74107
28407	74178
13362	74179
12998	74207
14423	74218
31480	74231
26433	74238
35901	74238
25271	74241
34035	74294
18507	74302
26803	74320
37749	74323
31870	74336
15003	74339
35618	74365
4292	74367
24107	74411
17855	74411
29558	74421
25237	74475
16435	74492
10959	74497
25517	74515
21058	74521
32940	74537
27113	74545
6333	74545
4008	74558
32552	74597
28891	74623
15936	74643
17875	74651
14433	74653
25845	74683
16541	74704
7151	74706
32048	74706
17874	74712
1123	74717
25190	74717
17842	74725
2905	74737
34987	74741
15172	74741
11037	74746
