genomes	tool	index_size	indexing_time	indexing_mem
1	LexicMap	8532075	3.792	836.09
10	LexicMap	61143195	3.823	1350
100	LexicMap	448945296	8.984	4220
1000	LexicMap	3266094609	70	15560
10000	LexicMap	26604801210	751	65470
100000	LexicMap	246549333809	7222	68380
1000000	LexicMap	2363117670287	77609	75180
1	Blastn	1241603	1.945	33.29
10	Blastn	10745339	0.874	45.5
100	Blastn	102167169	3.139	66.39
1000	Blastn	1017119410	24.61	80.65
10000	Blastn	10135558649	218	124.9
100000	Blastn	101338570059	2167	267.84
1000000	Blastn	1011257615500	21641	2220
1	MMseqs2	4795682	0.22	12.82
10	MMseqs2	42173096	0.439	48.28
100	MMseqs2	401371669	2.509	102.85
1000	MMseqs2	3981713314	18.284	142.49
10000	MMseqs2	39596241528	116	223.39
100000	MMseqs2	396201949210	932	2070
1000000	MMseqs2	3954690945228	9311	20540
1	Minimap2	16830316	0.33	52.08
10	Minimap2	139339368	1.961	330.58
100	Minimap2	1087934294	13.392	3520
1000	Minimap2	9091190840	83	25090
10000	Minimap2	86793237379	671	67320
100000	Minimap2	867967093030	6468	75100
1000000	Minimap2	8664031321615	65115	85470
1	COBS	107418144	1.086	17.68
10	COBS	115890592	4.56	32.98
100	COBS	264393696	17.307	109.21
1000	COBS	1874493328	55.975	1640
10000	COBS	16059468864	678	13340
100000	COBS	143915131776	4916	90540
1000000	COBS	1423757914112	52367	381750
1	Ropebwt3	6371023	1.214	321
10	Ropebwt3	44357762	8.218	1500
100	Ropebwt3	300675575	63	11060
1000	Ropebwt3	1999940456	914	118850
10000	Ropebwt3	14528014371	12913	137530
100000	Ropebwt3	104231671249	153914	254930
1000000	Ropebwt3	713457889043	2014761	1013863
