genomes	tool	seconds	kb	round
1	Blastn	2.281	63116	r1
1	Blastn	0.868	51260	r2
1	Blastn	1.191	53852	r3
1	Blastn	4.996	59376	r4
10	Blastn	1.407	71012	r1
10	Blastn	0.649	59520	r2
10	Blastn	1.189	77096	r3
10	Blastn	1.551	59928	r4
100	Blastn	2.394	156280	r1
100	Blastn	0.873	167084	r2
100	Blastn	1.946	161008	r3
100	Blastn	2.744	162656	r4
1000	Blastn	11.545	1121760	r1
1000	Blastn	7.713	1119540	r2
1000	Blastn	11.035	1124764	r3
1000	Blastn	13.874	1116756	r4
10000	Blastn	126.423	3048132	r1
10000	Blastn	101.834	10398880	r2
10000	Blastn	91.312	10416600	r3
10000	Blastn	124.683	10396012	r4
100000	Blastn	1107.570	99130632	r1
100000	Blastn	999.229	102695468	r2
100000	Blastn	866.899	102706564	r3
100000	Blastn	1330.089	102687704	r4
1000000	Blastn	13034.348	211120472	r1
1000000	Blastn	11233.181	460501680	r2
1000000	Blastn	9900.603	468769088	r3
1000000	Blastn	13379.732	234886724	r4
1	Blastn(ws=15)	2.927	66928	r1
1	Blastn(ws=15)	2.029	44956	r2
1	Blastn(ws=15)	1.521	66832	r3
1	Blastn(ws=15)	7.444	69124	r4
10	Blastn(ws=15)	1.195	66060	r1
10	Blastn(ws=15)	1.547	59020	r2
10	Blastn(ws=15)	1.301	65788	r3
10	Blastn(ws=15)	1.728	69924	r4
100	Blastn(ws=15)	2.716	167712	r1
100	Blastn(ws=15)	4.416	157456	r2
100	Blastn(ws=15)	2.388	165756	r3
100	Blastn(ws=15)	2.696	169204	r4
1000	Blastn(ws=15)	11.084	1136688	r1
1000	Blastn(ws=15)	33.574	1121024	r2
1000	Blastn(ws=15)	13.015	1130496	r3
1000	Blastn(ws=15)	14.047	1130688	r4
10000	Blastn(ws=15)	134.157	10511096	r1
10000	Blastn(ws=15)	189.809	10514108	r2
10000	Blastn(ws=15)	106.564	10516316	r3
10000	Blastn(ws=15)	127.578	10524092	r4
100000	Blastn(ws=15)	1180.986	103626116	r1
100000	Blastn(ws=15)	1777.903	103688548	r2
100000	Blastn(ws=15)	1132.495	103671256	r3
100000	Blastn(ws=15)	1446.907	103646912	r4
1000000	Blastn(ws=15)	11765.113	394889960	r1
1000000	Blastn(ws=15)	15448.110	976286152	r2
1000000	Blastn(ws=15)	12391.110	345994924	r3
1000000	Blastn(ws=15)	22349.999	336614852	r4
1	COBS	7.763	17828	r1
1	COBS	17.790	17412	r2
1	COBS	16.068	18048	r3
1	COBS	18.002	17352	r4
10	COBS	5.824	17936	r1
10	COBS	7.976	17988	r2
10	COBS	7.436	17776	r3
10	COBS	19.186	17836	r4
100	COBS	27.054	28640	r1
100	COBS	35.019	28704	r2
100	COBS	32.960	28876	r3
100	COBS	34.404	29052	r4
1000	COBS	44.167	94440	r1
1000	COBS	68.979	93864	r2
1000	COBS	31.712	94516	r3
1000	COBS	50.122	94044	r4
10000	COBS	46.491	229492	r1
10000	COBS	100.821	229160	r2
10000	COBS	89.025	233172	r3
10000	COBS	91.904	229148	r4
100000	COBS	340.148	1102680	r1
100000	COBS	599.866	1102532	r2
100000	COBS	569.787	1102792	r3
100000	COBS	703.796	1102788	r4
1000000	COBS	1751.312	2811160	r1
1000000	COBS	2067.864	2820260	r2
1000000	COBS	2071.559	2823920	r3
1000000	COBS	2317.384	2815496	r4
1	LexicMap	1.310	809372	r1
1	LexicMap	1.498	1492668	r2
1	LexicMap	1.308	656236	r3
1	LexicMap	1.818	1012184	r4
10	LexicMap	0.996	1102392	r1
10	LexicMap	1.365	1509300	r2
10	LexicMap	0.776	1075032	r3
10	LexicMap	2.008	1412640	r4
100	LexicMap	2.197	1251216	r1
100	LexicMap	2.664	1549088	r2
100	LexicMap	1.987	1227472	r3
100	LexicMap	3.317	1410080	r4
1000	LexicMap	11.964	1461732	r1
1000	LexicMap	10.466	1636264	r2
1000	LexicMap	15.272	1350432	r3
1000	LexicMap	27.215	1565092	r4
10000	LexicMap	43.328	1696716	r1
10000	LexicMap	38.255	1862080	r2
10000	LexicMap	28.963	1627028	r3
10000	LexicMap	52.712	1749716	r4
100000	LexicMap	75.889	3034712	r1
100000	LexicMap	132.732	3062052	r2
100000	LexicMap	101.224	2990540	r3
100000	LexicMap	186.649	2984988	r4
