genomes	tool	seconds	kb
1	Blastn	0.868	51260
10	Blastn	0.649	59520
100	Blastn	0.873	167084
1000	Blastn	7.713	1119540
10000	Blastn	101.834	10398880
100000	Blastn	999.229	102695468
1000000	Blastn	11233.181	460501680
1	Blastn(ws=15)	2.029	44956
10	Blastn(ws=15)	1.547	59020
100	Blastn(ws=15)	4.416	157456
1000	Blastn(ws=15)	33.574	1121024
10000	Blastn(ws=15)	189.809	10514108
100000	Blastn(ws=15)	1777.903	103688548
1000000	Blastn(ws=15)	15448.110	976286152
1	COBS	17.790	17412
10	COBS	7.976	17988
100	COBS	35.019	28704
1000	COBS	68.979	93864
10000	COBS	100.821	229160
100000	COBS	599.866	1102532
1000000	COBS	2067.864	2820260
1	LexicMap	1.498	1492668
10	LexicMap	1.365	1509300
100	LexicMap	2.664	1549088
1000	LexicMap	10.466	1636264
10000	LexicMap	38.255	1862080
100000	LexicMap	132.732	3062052
1000000	LexicMap	1431.904	6148360
1	Minimap2	0.654	34816
10	Minimap2	1.945	196772
100	Minimap2	7.340	1853332
1000	Minimap2	51.011	9934672
10000	Minimap2	447.541	20089908
100000	Minimap2	4479.060	20143584
1000000	Minimap2	54645.648	20152592
1	MMseqs2	12.427	8445052
10	MMseqs2	17.889	8718584
100	MMseqs2	19.598	11196932
1000	MMseqs2	82.925	35317552
10000	MMseqs2	754.806	275185904
100000	MMseqs2	8513.578	390429224
1000000	MMseqs2	142792.188	410385252
1	Ropebwt3	3.802	15505744
10	Ropebwt3	5.748	15679384
100	Ropebwt3	12.687	15961956
1000	Ropebwt3	98.808	17631064
10000	Ropebwt3	217.828	29912428
100000	Ropebwt3	852.183	117972956
1000000	Ropebwt3	4936.154	717489648
