assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	LexicMap	13095	4.43
GCF_000006765.1	80	250	397873	LexicMap	19532	4.91
GCF_000006945.2	80	250	314154	LexicMap	14313	4.56
GCF_000013425.1	80	250	179360	LexicMap	8561	4.77
GCF_000195955.2	80	250	280444	LexicMap	13095	4.67
GCF_000240185.1	80	250	361034	LexicMap	17041	4.72
GCF_001457635.1	80	250	134184	LexicMap	6875	5.12
GCF_008632635.1	80	250	252645	LexicMap	11683	4.62
GCF_018885085.1	80	250	260635	LexicMap	13336	5.12
GCF_022869705.1	80	250	182293	LexicMap	8503	4.66
GCF_000005845.2	80	500	145084	LexicMap	25131	17.32
GCF_000006765.1	80	500	195837	LexicMap	37864	19.33
GCF_000006945.2	80	500	154570	LexicMap	27528	17.81
GCF_000013425.1	80	500	88343	LexicMap	16211	18.35
GCF_000195955.2	80	500	137930	LexicMap	25284	18.33
GCF_000240185.1	80	500	177725	LexicMap	32344	18.20
GCF_001457635.1	80	500	66150	LexicMap	13159	19.89
GCF_008632635.1	80	500	124422	LexicMap	21805	17.53
GCF_018885085.1	80	500	127581	LexicMap	24528	19.23
GCF_022869705.1	80	500	89331	LexicMap	15714	17.59
GCF_000005845.2	80	1000	46410	LexicMap	15617	33.65
GCF_000006765.1	80	1000	62641	LexicMap	23012	36.74
GCF_000006945.2	80	1000	49510	LexicMap	17224	34.79
GCF_000013425.1	80	1000	28215	LexicMap	9989	35.40
GCF_000195955.2	80	1000	44116	LexicMap	15449	35.02
GCF_000240185.1	80	1000	56823	LexicMap	20084	35.34
GCF_001457635.1	80	1000	21111	LexicMap	8046	38.11
GCF_008632635.1	80	1000	39801	LexicMap	13747	34.54
GCF_018885085.1	80	1000	40961	LexicMap	14961	36.52
GCF_022869705.1	80	1000	28672	LexicMap	10006	34.90
GCF_000005845.2	80	2000	69632	LexicMap	39838	57.21
GCF_000006765.1	80	2000	93974	LexicMap	56393	60.01
GCF_000006945.2	80	2000	74284	LexicMap	43206	58.16
GCF_000013425.1	80	2000	42327	LexicMap	25060	59.21
GCF_000195955.2	80	2000	66179	LexicMap	38390	58.01
GCF_000240185.1	80	2000	85293	LexicMap	50274	58.94
GCF_001457635.1	80	2000	31671	LexicMap	19884	62.78
GCF_008632635.1	80	2000	59718	LexicMap	34605	57.95
GCF_018885085.1	80	2000	61453	LexicMap	37202	60.54
GCF_022869705.1	80	2000	43014	LexicMap	25213	58.62
GCF_000005845.2	81	250	295054	LexicMap	21222	7.19
GCF_000006765.1	81	250	398898	LexicMap	31640	7.93
GCF_000006945.2	81	250	314883	LexicMap	23095	7.33
GCF_000013425.1	81	250	179402	LexicMap	13622	7.59
GCF_000195955.2	81	250	280560	LexicMap	20612	7.35
GCF_000240185.1	81	250	361196	LexicMap	27119	7.51
GCF_001457635.1	81	250	134496	LexicMap	11180	8.31
GCF_008632635.1	81	250	253458	LexicMap	18825	7.43
GCF_018885085.1	81	250	261243	LexicMap	21420	8.20
GCF_022869705.1	81	250	182164	LexicMap	13472	7.40
GCF_000005845.2	81	500	145120	LexicMap	34195	23.56
GCF_000006765.1	81	500	196152	LexicMap	51648	26.33
GCF_000006945.2	81	500	154688	LexicMap	37455	24.21
GCF_000013425.1	81	500	88088	LexicMap	21740	24.68
GCF_000195955.2	81	500	138101	LexicMap	34373	24.89
GCF_000240185.1	81	500	177506	LexicMap	43837	24.70
GCF_001457635.1	81	500	65987	LexicMap	17740	26.88
GCF_008632635.1	81	500	124519	LexicMap	29813	23.94
GCF_018885085.1	81	500	128151	LexicMap	33301	25.99
GCF_022869705.1	81	500	89765	LexicMap	21456	23.90
GCF_000005845.2	81	1000	46413	LexicMap	21247	45.78
GCF_000006765.1	81	1000	62643	LexicMap	31176	49.77
GCF_000006945.2	81	1000	49513	LexicMap	23090	46.63
GCF_000013425.1	81	1000	28212	LexicMap	13413	47.54
GCF_000195955.2	81	1000	44115	LexicMap	20934	47.45
GCF_000240185.1	81	1000	56831	LexicMap	26954	47.43
GCF_001457635.1	81	1000	21109	LexicMap	10774	51.04
GCF_008632635.1	81	1000	39803	LexicMap	18211	45.75
GCF_018885085.1	81	1000	40955	LexicMap	19975	48.77
GCF_022869705.1	81	1000	28669	LexicMap	13415	46.79
GCF_000005845.2	81	2000	69641	LexicMap	50829	72.99
GCF_000006765.1	81	2000	93977	LexicMap	71589	76.18
GCF_000006945.2	81	2000	74288	LexicMap	54745	73.69
GCF_000013425.1	81	2000	42329	LexicMap	31424	74.24
GCF_000195955.2	81	2000	66180	LexicMap	48989	74.02
GCF_000240185.1	81	2000	85294	LexicMap	63741	74.73
GCF_001457635.1	81	2000	31675	LexicMap	24616	77.71
GCF_008632635.1	81	2000	59715	LexicMap	43818	73.38
GCF_018885085.1	81	2000	61453	LexicMap	46249	75.26
GCF_022869705.1	81	2000	43015	LexicMap	31623	73.52
GCF_000005845.2	82	250	295570	LexicMap	31867	10.78
GCF_000006765.1	82	250	398687	LexicMap	48292	12.11
