assembly	ident	qlen	queries	tool	hits	recall
GCA_000331975.1	100	500	5263	LexicMap	5263	100.0000
GCA_012517355.1	100	500	141361	LexicMap	141361	100.0000
GCA_020216885.1	100	500	37463	LexicMap	37463	100.0000
GCA_021730205.1	100	500	23678	LexicMap	23678	100.0000
GCA_022702125.1	100	500	91873	LexicMap	91873	100.0000
GCA_905236665.1	100	500	31240	LexicMap	31240	100.0000
GCF_000756305.1	100	500	141007	LexicMap	141007	100.0000
GCF_001263175.1	100	500	87009	LexicMap	87009	100.0000
GCF_016765775.1	100	500	84144	LexicMap	84144	100.0000
GCF_017873395.1	100	500	73024	LexicMap	73024	100.0000
