assembly	ident	qlen	queries	tool	hits	recall	genome_size
GCF_000005845.2	100	Query length: 250 bp	556981	Blastn	556964	99.9969	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	Blastn	751713	99.9995	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	Blastn	594105	99.9939	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	Blastn	338518	99.9905	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	Blastn	527024	99.5570	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	Blastn	681794	100.0000	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	Blastn	253294	100.0000	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	Blastn	477555	99.9899	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	Blastn	490884	99.8789	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	Blastn	344007	99.9974	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	Blastn(ws=15)	556974	99.9987	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	Blastn(ws=15)	751717	100.0000	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	Blastn(ws=15)	594107	99.9943	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	Blastn(ws=15)	338532	99.9947	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	Blastn(ws=15)	528402	99.8173	4411532
GCF_000240185.1	100	Query length: 250 bp	681794	Blastn(ws=15)	681794	100.0000	5682322
GCF_001457635.1	100	Query length: 250 bp	253294	Blastn(ws=15)	253294	100.0000	2110968
GCF_008632635.1	100	Query length: 250 bp	477603	Blastn(ws=15)	477590	99.9973	3980230
GCF_018885085.1	100	Query length: 250 bp	491479	Blastn(ws=15)	491294	99.9624	4095894
GCF_022869705.1	100	Query length: 250 bp	344016	Blastn(ws=15)	344016	100.0000	2866948
GCF_000005845.2	100	Query length: 250 bp	556981	COBS	556981	100.00	4641652
GCF_000006765.1	100	Query length: 250 bp	751717	COBS	751717	100.00	6264404
GCF_000006945.2	100	Query length: 250 bp	594141	COBS	594141	100.00	4951383
GCF_000013425.1	100	Query length: 250 bp	338550	COBS	338550	100.00	2821361
GCF_000195955.2	100	Query length: 250 bp	529369	COBS	529369	100.00	4411532
