assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	minimap2	2406	0.81
GCF_000006765.1	80	250	397873	minimap2	2992	0.75
GCF_000006945.2	80	250	314154	minimap2	2451	0.78
GCF_000013425.1	80	250	179360	minimap2	1470	0.82
GCF_000195955.2	80	250	280444	minimap2	2119	0.76
GCF_000240185.1	80	250	361034	minimap2	2891	0.80
GCF_001457635.1	80	250	134184	minimap2	1029	0.77
GCF_008632635.1	80	250	252645	minimap2	1989	0.79
GCF_018885085.1	80	250	260635	minimap2	2056	0.79
GCF_022869705.1	80	250	182293	minimap2	1506	0.83
GCF_000005845.2	80	500	145084	minimap2	13298	9.17
GCF_000006765.1	80	500	195837	minimap2	17406	8.89
GCF_000006945.2	80	500	154570	minimap2	13835	8.95
GCF_000013425.1	80	500	88343	minimap2	8021	9.08
GCF_000195955.2	80	500	137930	minimap2	12229	8.87
GCF_000240185.1	80	500	177725	minimap2	15844	8.91
GCF_001457635.1	80	500	66150	minimap2	5972	9.03
GCF_008632635.1	80	500	124422	minimap2	11518	9.26
GCF_018885085.1	80	500	127581	minimap2	11859	9.30
GCF_022869705.1	80	500	89331	minimap2	8172	9.15
GCF_000005845.2	80	1000	46410	minimap2	19880	42.84
GCF_000006765.1	80	1000	62641	minimap2	26870	42.90
GCF_000006945.2	80	1000	49510	minimap2	21513	43.45
GCF_000013425.1	80	1000	28215	minimap2	12250	43.42
GCF_000195955.2	80	1000	44116	minimap2	18874	42.78
GCF_000240185.1	80	1000	56823	minimap2	24554	43.21
GCF_001457635.1	80	1000	21111	minimap2	9147	43.33
GCF_008632635.1	80	1000	39801	minimap2	17333	43.55
GCF_018885085.1	80	1000	40961	minimap2	17756	43.35
GCF_022869705.1	80	1000	28672	minimap2	12523	43.68
GCF_000005845.2	80	2000	69632	minimap2	61167	87.84
GCF_000006765.1	80	2000	93974	minimap2	82318	87.60
GCF_000006945.2	80	2000	74284	minimap2	65266	87.86
GCF_000013425.1	80	2000	42327	minimap2	37250	88.01
GCF_000195955.2	80	2000	66179	minimap2	57919	87.52
GCF_000240185.1	80	2000	85293	minimap2	74878	87.79
GCF_001457635.1	80	2000	31671	minimap2	27823	87.85
GCF_008632635.1	80	2000	59718	minimap2	52578	88.04
GCF_018885085.1	80	2000	61453	minimap2	54109	88.05
GCF_022869705.1	80	2000	43014	minimap2	37925	88.17
GCF_000005845.2	81	250	295054	minimap2	4698	1.59
GCF_000006765.1	81	250	398898	minimap2	6135	1.54
GCF_000006945.2	81	250	314883	minimap2	4947	1.57
GCF_000013425.1	81	250	179402	minimap2	2831	1.58
GCF_000195955.2	81	250	280560	minimap2	4404	1.57
GCF_000240185.1	81	250	361196	minimap2	5623	1.56
GCF_001457635.1	81	250	134496	minimap2	2260	1.68
GCF_008632635.1	81	250	253458	minimap2	4188	1.65
GCF_018885085.1	81	250	261243	minimap2	4328	1.66
GCF_022869705.1	81	250	182164	minimap2	3014	1.65
GCF_000005845.2	81	500	145120	minimap2	23266	16.03
GCF_000006765.1	81	500	196152	minimap2	30917	15.76
GCF_000006945.2	81	500	154688	minimap2	24747	16.00
GCF_000013425.1	81	500	88088	minimap2	13973	15.86
GCF_000195955.2	81	500	138101	minimap2	21864	15.83
GCF_000240185.1	81	500	177506	minimap2	28134	15.85
GCF_001457635.1	81	500	65987	minimap2	10461	15.85
GCF_008632635.1	81	500	124519	minimap2	19898	15.98
GCF_018885085.1	81	500	128151	minimap2	20931	16.33
GCF_022869705.1	81	500	89765	minimap2	14661	16.33
GCF_000005845.2	81	1000	46413	minimap2	28272	60.91
GCF_000006765.1	81	1000	62643	minimap2	37472	59.82
GCF_000006945.2	81	1000	49513	minimap2	29878	60.34
GCF_000013425.1	81	1000	28212	minimap2	17115	60.67
GCF_000195955.2	81	1000	44115	minimap2	26581	60.25
GCF_000240185.1	81	1000	56831	minimap2	34472	60.66
GCF_001457635.1	81	1000	21109	minimap2	12824	60.75
GCF_008632635.1	81	1000	39803	minimap2	24292	61.03
GCF_018885085.1	81	1000	40955	minimap2	24772	60.49
GCF_022869705.1	81	1000	28669	minimap2	17525	61.13
GCF_000005845.2	81	2000	69641	minimap2	66597	95.63
GCF_000006765.1	81	2000	93977	minimap2	89752	95.50
GCF_000006945.2	81	2000	74288	minimap2	70980	95.55
GCF_000013425.1	81	2000	42329	minimap2	40503	95.69
GCF_000195955.2	81	2000	66180	minimap2	63176	95.46
GCF_000240185.1	81	2000	85294	minimap2	81615	95.69
GCF_001457635.1	81	2000	31675	minimap2	30346	95.80
GCF_008632635.1	81	2000	59715	minimap2	57236	95.85
GCF_018885085.1	81	2000	61453	minimap2	59001	96.01
GCF_022869705.1	81	2000	43015	minimap2	41197	95.77
GCF_000005845.2	82	250	295570	minimap2	9111	3.08
GCF_000006765.1	82	250	398687	minimap2	12270	3.08
GCF_000006945.2	82	250	315949	minimap2	9872	3.12
GCF_000013425.1	82	250	179572	minimap2	5597	3.12
GCF_000195955.2	82	250	281639	minimap2	8491	3.01
GCF_000240185.1	82	250	361892	minimap2	11209	3.10
GCF_001457635.1	82	250	134638	minimap2	4127	3.07
GCF_008632635.1	82	250	253416	minimap2	7838	3.09
GCF_018885085.1	82	250	260977	minimap2	8176	3.13
GCF_022869705.1	82	250	183034	minimap2	5723	3.13
GCF_000005845.2	82	500	145348	minimap2	37731	25.96
GCF_000006765.1	82	500	196284	minimap2	50701	25.83
GCF_000006945.2	82	500	154599	minimap2	40504	26.20
GCF_000013425.1	82	500	88185	minimap2	23151	26.25
GCF_000195955.2	82	500	138176	minimap2	35419	25.63
GCF_000240185.1	82	500	178142	minimap2	46443	26.07
GCF_001457635.1	82	500	66079	minimap2	17339	26.24
