assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	COBS	38687	13.08
GCF_000006765.1	80	250	397873	COBS	59511	14.96
GCF_000006945.2	80	250	314154	COBS	44144	14.05
GCF_000013425.1	80	250	179360	COBS	24602	13.72
GCF_000195955.2	80	250	280444	COBS	38878	13.86
GCF_000240185.1	80	250	361034	COBS	47788	13.24
GCF_001457635.1	80	250	134184	COBS	14277	10.64
GCF_008632635.1	80	250	252645	COBS	35110	13.90
GCF_018885085.1	80	250	260635	COBS	34251	13.14
GCF_022869705.1	80	250	182293	COBS	25573	14.03
GCF_000005845.2	80	500	145084	COBS	7145	4.92
GCF_000006765.1	80	500	195837	COBS	12078	6.17
GCF_000006945.2	80	500	154570	COBS	8670	5.61
GCF_000013425.1	80	500	88343	COBS	4884	5.53
GCF_000195955.2	80	500	137930	COBS	7630	5.53
GCF_000240185.1	80	500	177725	COBS	8887	5.00
GCF_001457635.1	80	500	66150	COBS	2169	3.28
GCF_008632635.1	80	500	124422	COBS	6811	5.47
GCF_018885085.1	80	500	127581	COBS	6269	4.91
GCF_022869705.1	80	500	89331	COBS	5043	5.65
GCF_000005845.2	80	1000	46410	COBS	454	0.98
GCF_000006765.1	80	1000	62641	COBS	943	1.51
GCF_000006945.2	80	1000	49510	COBS	635	1.28
GCF_000013425.1	80	1000	28215	COBS	310	1.10
GCF_000195955.2	80	1000	44116	COBS	502	1.14
GCF_000240185.1	80	1000	56823	COBS	583	1.03
GCF_001457635.1	80	1000	21111	COBS	91	0.43
GCF_008632635.1	80	1000	39801	COBS	433	1.09
GCF_018885085.1	80	1000	40961	COBS	382	0.93
GCF_022869705.1	80	1000	28672	COBS	335	1.17
GCF_000005845.2	80	2000	69632	COBS	30	0.04
GCF_000006765.1	80	2000	93974	COBS	110	0.12
GCF_000006945.2	80	2000	74284	COBS	51	0.07
GCF_000013425.1	80	2000	42327	COBS	31	0.07
GCF_000195955.2	80	2000	66179	COBS	44	0.07
