assembly	seeds	size
GCF_000418325.1	303256	14782125
GCF_002950945.1	298187	14557589
GCA_019217005.1	297390	14995525
GCF_005893125.1	291732	14334648
GCF_016863635.1	289524	14096588
GCF_003044305.1	286572	14076305
GCF_024172165.1	284599	13765184
GCA_018676675.1	282919	14106164
GCF_900323885.1	280415	13559781
GCF_009725235.1	279512	14051789
GCF_019396345.1	279485	13673866
GCF_005889725.1	279415	13613686
GCF_012933655.1	278000	13532887
GCF_010894405.1	275915	13434823
GCF_020103695.1	275401	13559219
GCF_008086045.1	272188	13147766
GCF_900108335.1	271580	13236837
GCF_017301735.1	271376	13211353
GCF_014204795.1	271116	13173116
GCF_000178855.1	270648	13661586
GCF_016887565.1	270210	13213980
GCF_014873145.1	269812	13093168
GCF_022095675.1	268895	13024294
GCF_016741935.1	268709	13128250
GCF_014207985.1	266873	12876814
GCF_000067165.1	266837	13033779
GCA_021405325.1	265596	13360406
GCF_016862795.1	263855	12716640
GCF_005144585.1	263685	12981589
GCF_024198175.1	262109	12698915
GCF_015356825.1	260266	12797989
GCF_010894435.1	260160	12670262
GCF_018603905.1	259725	12746587
GCF_017876405.1	259449	12808207
GCF_016859125.1	258441	12677854
GCF_024623785.1	256967	12594933
GCF_024298965.1	256594	12466108
GCF_001027285.1	256455	12489432
GCF_000733295.1	255404	12537762
GCF_008065375.1	254578	12434163
GCA_001550305.1	251989	12331773
GCF_006636215.1	251661	12411432
GCF_002305875.1	251474	12349744
GCF_005144635.2	251221	12320079
GCA_000720375.1	251090	12418284
GCF_003001935.1	250975	12180574
GCF_020215645.1	250925	12066052
GCA_022360315.1	250895	12655628
GCF_014647515.1	250427	12103263
GCF_000335475.2	249782	12282374
GCA_022842065.1	249060	12566563
GCF_003967355.1	248904	12054215
GCF_002224125.1	248819	12147237
GCF_900176515.1	248800	12276125
GCF_012273535.1	248741	12127650
GCF_019704555.1	248631	12014766
GCF_018531495.1	248630	12091922
GCA_005887925.1	248179	12204246
GCF_002343915.1	248173	12059053
GCF_001456025.1	248144	12700239
GCF_019904175.1	248022	11959907
GCF_003851625.1	247928	12072023
GCF_003814875.1	247092	12003927
GCF_001263205.1	246957	12191466
GCF_003387475.1	246437	11968322
GCF_017874715.1	246088	11981584
GCF_019977735.1	245805	12367066
GCF_002197845.1	245701	12363577
GCF_008905045.1	245404	11977091
GCF_004345645.1	245240	12011259
GCF_001887355.1	244705	12051756
GCF_009687865.1	244622	12100308
GCF_018138715.1	244268	11877923
GCF_000376565.1	243392	11828360
GCF_000346485.2	243261	12294410
GCF_001589285.1	242795	11861566
GCA_001899635.1	242605	11892526
GCF_900099965.1	242419	11811824
GCF_014202315.1	242184	11651000
GCA_005405945.1	241992	11744825
GCF_021390435.2	241918	12047807
GCF_020215705.1	241799	11847238
GCF_017573505.1	241321	11715108
GCF_001302585.1	241097	11759770
GCF_020103725.1	241036	11731597
GCF_000367365.1	240974	11760649
GCA_903927685.1	240739	12145825
GCF_013283785.1	240676	11667904
GCF_000826545.1	240218	11752342
GCA_013361525.1	239744	11907758
GCF_000716715.1	239523	11445570
GCF_001984155.1	239489	11712314
GCF_018263855.1	239456	11609901
GCF_014645815.1	238980	11559237
GCF_002368415.1	238827	12037678
GCA_020073365.1	238763	12094560
GCF_001514115.1	238410	11669312
GCA_019510245.1	238209	11571715
GCF_024612035.1	238202	11540835
GCF_000718165.1	238051	11584616
GCA_023382535.1	238041	12088840
GCF_014648435.1	237988	11470535
GCF_016863655.1	237918	11432222
GCF_002217755.1	237852	11525033
GCF_001514145.1	237603	11570753
GCF_000601485.1	237566	11577721
GCF_009687885.1	237438	11762885
GCF_014203235.1	236720	11471676
GCF_002154605.1	236675	11617640
GCF_024198215.1	235905	11517428
GCF_000568255.1	235834	11646492
GCF_015645445.1	235777	11548603
GCF_004011505.1	235682	11519774
GCF_021699195.1	235513	11393141
GCA_000715855.1	235444	12446298
GCA_023423895.1	235249	11527463
GCF_016862075.1	235142	11465012
GCF_009760925.1	234688	11388961
GCF_000372745.1	234678	11392659
GCF_016834655.1	234640	11420128
GCF_016598615.1	234277	11347200
GCF_017498545.1	234217	11786365
GCF_000716435.1	233837	11386825
GCF_005047355.1	233770	11530635
GCA_903881085.1	233519	11877886
GCF_011764425.1	233400	11342817
GCF_010894455.1	233262	11394166
GCF_015356865.1	233260	11469319
GCF_023023025.1	233246	11133454
GCF_004135735.1	232871	11261481
GCF_018274385.1	232854	11465056
GCF_007050945.1	232760	11379348
GCF_001189295.1	232719	11388132
GCF_016654115.1	232437	11298036
GCF_017573465.1	232406	11174601
GCF_009377185.1	232369	11307761
GCF_020037125.1	232045	11243509
GCA_900129675.1	231892	11738562
GCF_005889735.1	231575	11350886
GCF_016612545.1	231550	11250604
GCF_009498035.1	231484	10929570
GCF_000721705.1	231418	11257336
GCF_024198255.1	231390	11198912
GCF_006088715.1	230898	11098444
GCF_016862315.1	230763	11168746
