assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	Minimap2	2395	0.8100
GCF_000006765.1	80	250	397873	Minimap2	2992	0.7520
GCF_000006945.2	80	250	314154	Minimap2	2450	0.7799
GCF_000013425.1	80	250	179360	Minimap2	1467	0.8179
GCF_000195955.2	80	250	280444	Minimap2	2113	0.7534
GCF_000240185.1	80	250	361034	Minimap2	2876	0.7966
GCF_001457635.1	80	250	134184	Minimap2	1029	0.7669
GCF_008632635.1	80	250	252645	Minimap2	1987	0.7865
GCF_018885085.1	80	250	260635	Minimap2	2040	0.7827
GCF_022869705.1	80	250	182293	Minimap2	1504	0.8250
GCF_000005845.2	80	500	145084	Minimap2	13274	9.1492
GCF_000006765.1	80	500	195837	Minimap2	17401	8.8855
GCF_000006945.2	80	500	154570	Minimap2	13823	8.9429
GCF_000013425.1	80	500	88343	Minimap2	8016	9.0737
GCF_000195955.2	80	500	137930	Minimap2	12203	8.8472
GCF_000240185.1	80	500	177725	Minimap2	15787	8.8828
GCF_001457635.1	80	500	66150	Minimap2	5966	9.0189
GCF_008632635.1	80	500	124422	Minimap2	11513	9.2532
GCF_018885085.1	80	500	127581	Minimap2	11782	9.2349
GCF_022869705.1	80	500	89331	Minimap2	8165	9.1402
GCF_000005845.2	80	1000	46410	Minimap2	19844	42.7580
GCF_000006765.1	80	1000	62641	Minimap2	26867	42.8904
GCF_000006945.2	80	1000	49510	Minimap2	21501	43.4276
GCF_000013425.1	80	1000	28215	Minimap2	12247	43.4060
GCF_000195955.2	80	1000	44116	Minimap2	18838	42.7011
GCF_000240185.1	80	1000	56823	Minimap2	24498	43.1128
GCF_001457635.1	80	1000	21111	Minimap2	9141	43.2997
GCF_008632635.1	80	1000	39801	Minimap2	17326	43.5316
GCF_018885085.1	80	1000	40961	Minimap2	17640	43.0654
GCF_022869705.1	80	1000	28672	Minimap2	12514	43.6454
GCF_000005845.2	80	2000	69632	Minimap2	61124	87.7815
GCF_000006765.1	80	2000	93974	Minimap2	82304	87.5817
GCF_000006945.2	80	2000	74284	Minimap2	65250	87.8386
GCF_000013425.1	80	2000	42327	Minimap2	37243	87.9888
GCF_000195955.2	80	2000	66179	Minimap2	57895	87.4824
GCF_000240185.1	80	2000	85293	Minimap2	74789	87.6848
GCF_001457635.1	80	2000	31671	Minimap2	27818	87.8343
GCF_008632635.1	80	2000	59718	Minimap2	52569	88.0287
GCF_018885085.1	80	2000	61453	Minimap2	53962	87.8102
GCF_022869705.1	80	2000	43014	Minimap2	37914	88.1434
GCF_000005845.2	81	250	295054	Minimap2	4680	1.5862
GCF_000006765.1	81	250	398898	Minimap2	6132	1.5372
GCF_000006945.2	81	250	314883	Minimap2	4941	1.5692
GCF_000013425.1	81	250	179402	Minimap2	2830	1.5775
GCF_000195955.2	81	250	280560	Minimap2	4395	1.5665
GCF_000240185.1	81	250	361196	Minimap2	5608	1.5526
GCF_001457635.1	81	250	134496	Minimap2	2256	1.6774
GCF_008632635.1	81	250	253458	Minimap2	4184	1.6508
GCF_018885085.1	81	250	261243	Minimap2	4290	1.6421
GCF_022869705.1	81	250	182164	Minimap2	3009	1.6518
GCF_000005845.2	81	500	145120	Minimap2	23214	15.9964
GCF_000006765.1	81	500	196152	Minimap2	30907	15.7567
GCF_000006945.2	81	500	154688	Minimap2	24716	15.9780
GCF_000013425.1	81	500	88088	Minimap2	13968	15.8569
GCF_000195955.2	81	500	138101	Minimap2	21799	15.7848
GCF_000240185.1	81	500	177506	Minimap2	28054	15.8045
GCF_001457635.1	81	500	65987	Minimap2	10446	15.8304
GCF_008632635.1	81	500	124519	Minimap2	19887	15.9711
GCF_018885085.1	81	500	128151	Minimap2	20800	16.2309
GCF_022869705.1	81	500	89765	Minimap2	14638	16.3070
GCF_000005845.2	81	1000	46413	Minimap2	28239	60.8429
GCF_000006765.1	81	1000	62643	Minimap2	37467	59.8104
GCF_000006945.2	81	1000	49513	Minimap2	29859	60.3054
GCF_000013425.1	81	1000	28212	Minimap2	17112	60.6550
GCF_000195955.2	81	1000	44115	Minimap2	26542	60.1655
GCF_000240185.1	81	1000	56831	Minimap2	34401	60.5321
GCF_001457635.1	81	1000	21109	Minimap2	12816	60.7134
GCF_008632635.1	81	1000	39803	Minimap2	24281	61.0029
GCF_018885085.1	81	1000	40955	Minimap2	24633	60.1465
GCF_022869705.1	81	1000	28669	Minimap2	17515	61.0939
GCF_000005845.2	81	2000	69641	Minimap2	66572	95.5931
GCF_000006765.1	81	2000	93977	Minimap2	89743	95.4946
GCF_000006945.2	81	2000	74288	Minimap2	70961	95.5215
GCF_000013425.1	81	2000	42329	Minimap2	40496	95.6696
GCF_000195955.2	81	2000	66180	Minimap2	63152	95.4246
GCF_000240185.1	81	2000	85294	Minimap2	81542	95.6011
GCF_001457635.1	81	2000	31675	Minimap2	30344	95.7979
GCF_008632635.1	81	2000	59715	Minimap2	57230	95.8386
GCF_018885085.1	81	2000	61453	Minimap2	58831	95.7333
GCF_022869705.1	81	2000	43015	Minimap2	41193	95.7643
GCF_000005845.2	82	250	295570	Minimap2	9092	3.0761
GCF_000006765.1	82	250	398687	Minimap2	12261	3.0753
GCF_000006945.2	82	250	315949	Minimap2	9860	3.1208
GCF_000013425.1	82	250	179572	Minimap2	5594	3.1152
GCF_000195955.2	82	250	281639	Minimap2	8473	3.0085
GCF_000240185.1	82	250	361892	Minimap2	11174	3.0877
GCF_001457635.1	82	250	134638	Minimap2	4119	3.0593
GCF_008632635.1	82	250	253416	Minimap2	7837	3.0925
GCF_018885085.1	82	250	260977	Minimap2	8112	3.1083
GCF_022869705.1	82	250	183034	Minimap2	5713	3.1213
GCF_000005845.2	82	500	145348	Minimap2	37669	25.9164
GCF_000006765.1	82	500	196284	Minimap2	50682	25.8207
GCF_000006945.2	82	500	154599	Minimap2	40463	26.1729
GCF_000013425.1	82	500	88185	Minimap2	23142	26.2426
GCF_000195955.2	82	500	138176	Minimap2	35333	25.5710
GCF_000240185.1	82	500	178142	Minimap2	46302	25.9916
GCF_001457635.1	82	500	66079	Minimap2	17328	26.2232
GCF_008632635.1	82	500	124962	Minimap2	32836	26.2768
GCF_018885085.1	82	500	128000	Minimap2	33499	26.1711
GCF_022869705.1	82	500	89984	Minimap2	23467	26.0791
GCF_000005845.2	82	1000	46417	Minimap2	35844	77.2217
GCF_000006765.1	82	1000	62644	Minimap2	47974	76.5820
GCF_000006945.2	82	1000	49512	Minimap2	38072	76.8945
GCF_000013425.1	82	1000	28216	Minimap2	21757	77.1087
GCF_000195955.2	82	1000	44117	Minimap2	33788	76.5873
GCF_000240185.1	82	1000	56822	Minimap2	43614	76.7555
GCF_001457635.1	82	1000	21114	Minimap2	16333	77.3563
GCF_008632635.1	82	1000	39799	Minimap2	30701	77.1401
GCF_018885085.1	82	1000	40957	Minimap2	31517	76.9514
GCF_022869705.1	82	1000	28675	Minimap2	22280	77.6983
GCF_000005845.2	82	2000	69637	Minimap2	68898	98.9388
GCF_000006765.1	82	2000	93980	Minimap2	92873	98.8221
GCF_000006945.2	82	2000	74301	Minimap2	73441	98.8425
GCF_000013425.1	82	2000	42331	Minimap2	41893	98.9653
GCF_000195955.2	82	2000	66183	Minimap2	65462	98.9106
GCF_000240185.1	82	2000	85295	Minimap2	84277	98.8065
GCF_001457635.1	82	2000	31673	Minimap2	31329	98.9139
GCF_008632635.1	82	2000	59724	Minimap2	59071	98.9066
GCF_018885085.1	82	2000	61449	Minimap2	60680	98.7486
GCF_022869705.1	82	2000	43018	Minimap2	42614	99.0609
GCF_000005845.2	83	250	295927	Minimap2	18038	6.0954
GCF_000006765.1	83	250	400116	Minimap2	24079	6.0180
GCF_000006945.2	83	250	316836	Minimap2	19374	6.1148
GCF_000013425.1	83	250	180476	Minimap2	11070	6.1338
GCF_000195955.2	83	250	282368	Minimap2	16889	5.9812
GCF_000240185.1	83	250	363137	Minimap2	21878	6.0247
GCF_001457635.1	83	250	134984	Minimap2	8176	6.0570
GCF_008632635.1	83	250	254380	Minimap2	16090	6.3252
GCF_018885085.1	83	250	261728	Minimap2	16499	6.3039
GCF_022869705.1	83	250	183598	Minimap2	11574	6.3040
GCF_000005845.2	83	500	145594	Minimap2	58618	40.2613
GCF_000006765.1	83	500	196898	Minimap2	79162	40.2046
GCF_000006945.2	83	500	155331	Minimap2	63184	40.6770
GCF_000013425.1	83	500	88832	Minimap2	35994	40.5192
GCF_000195955.2	83	500	138645	Minimap2	55301	39.8868
GCF_000240185.1	83	500	178257	Minimap2	71593	40.1628
