assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	Blastn(ws=15)	222884	75.3776
GCF_000006765.1	80	250	397873	Blastn(ws=15)	299486	75.2718
GCF_000006945.2	80	250	314154	Blastn(ws=15)	236794	75.3751
GCF_000013425.1	80	250	179360	Blastn(ws=15)	135180	75.3680
GCF_000195955.2	80	250	280444	Blastn(ws=15)	210960	75.2236
GCF_000240185.1	80	250	361034	Blastn(ws=15)	271725	75.2630
GCF_001457635.1	80	250	134184	Blastn(ws=15)	101140	75.3741
GCF_008632635.1	80	250	252645	Blastn(ws=15)	190090	75.2400
GCF_018885085.1	80	250	260635	Blastn(ws=15)	193761	74.3419
GCF_022869705.1	80	250	182293	Blastn(ws=15)	136603	74.9360
GCF_000005845.2	80	500	145084	Blastn(ws=15)	138421	95.4075
GCF_000006765.1	80	500	195837	Blastn(ws=15)	186689	95.3288
GCF_000006945.2	80	500	154570	Blastn(ws=15)	147360	95.3354
GCF_000013425.1	80	500	88343	Blastn(ws=15)	84161	95.2662
GCF_000195955.2	80	500	137930	Blastn(ws=15)	131463	95.3114
GCF_000240185.1	80	500	177725	Blastn(ws=15)	169447	95.3422
GCF_001457635.1	80	500	66150	Blastn(ws=15)	63067	95.3394
GCF_008632635.1	80	500	124422	Blastn(ws=15)	118603	95.3232
GCF_018885085.1	80	500	127581	Blastn(ws=15)	120907	94.7688
GCF_022869705.1	80	500	89331	Blastn(ws=15)	84946	95.0913
GCF_000005845.2	80	1000	46410	Blastn(ws=15)	46327	99.8212
GCF_000006765.1	80	1000	62641	Blastn(ws=15)	62552	99.8579
GCF_000006945.2	80	1000	49510	Blastn(ws=15)	49432	99.8425
GCF_000013425.1	80	1000	28215	Blastn(ws=15)	28173	99.8511
GCF_000195955.2	80	1000	44116	Blastn(ws=15)	44017	99.7756
GCF_000240185.1	80	1000	56823	Blastn(ws=15)	56711	99.8029
GCF_001457635.1	80	1000	21111	Blastn(ws=15)	21061	99.7632
GCF_008632635.1	80	1000	39801	Blastn(ws=15)	39733	99.8292
GCF_018885085.1	80	1000	40961	Blastn(ws=15)	40861	99.7559
GCF_022869705.1	80	1000	28672	Blastn(ws=15)	28622	99.8256
GCF_000005845.2	80	2000	69632	Blastn(ws=15)	69617	99.9785
GCF_000006765.1	80	2000	93974	Blastn(ws=15)	93952	99.9766
GCF_000006945.2	80	2000	74284	Blastn(ws=15)	74270	99.9812
GCF_000013425.1	80	2000	42327	Blastn(ws=15)	42310	99.9598
GCF_000195955.2	80	2000	66179	Blastn(ws=15)	66168	99.9834
GCF_000240185.1	80	2000	85293	Blastn(ws=15)	85271	99.9742
GCF_001457635.1	80	2000	31671	Blastn(ws=15)	31660	99.9653
GCF_008632635.1	80	2000	59718	Blastn(ws=15)	59700	99.9699
GCF_018885085.1	80	2000	61453	Blastn(ws=15)	61433	99.9675
GCF_022869705.1	80	2000	43014	Blastn(ws=15)	43001	99.9698
GCF_000005845.2	81	250	295054	Blastn(ws=15)	244361	82.8191
GCF_000006765.1	81	250	398898	Blastn(ws=15)	330390	82.8257
GCF_000006945.2	81	250	314883	Blastn(ws=15)	260429	82.7066
GCF_000013425.1	81	250	179402	Blastn(ws=15)	148494	82.7717
GCF_000195955.2	81	250	280560	Blastn(ws=15)	232502	82.8707
GCF_000240185.1	81	250	361196	Blastn(ws=15)	299222	82.8420
GCF_001457635.1	81	250	134496	Blastn(ws=15)	111231	82.7021
GCF_008632635.1	81	250	253458	Blastn(ws=15)	209973	82.8433
GCF_018885085.1	81	250	261243	Blastn(ws=15)	213319	81.6554
GCF_022869705.1	81	250	182164	Blastn(ws=15)	150040	82.3653
GCF_000005845.2	81	500	145120	Blastn(ws=15)	142052	97.8859
GCF_000006765.1	81	500	196152	Blastn(ws=15)	192184	97.9771
GCF_000006945.2	81	500	154688	Blastn(ws=15)	151508	97.9442
GCF_000013425.1	81	500	88088	Blastn(ws=15)	86198	97.8544
GCF_000195955.2	81	500	138101	Blastn(ws=15)	135138	97.8545
GCF_000240185.1	81	500	177506	Blastn(ws=15)	173719	97.8666
GCF_001457635.1	81	500	65987	Blastn(ws=15)	64638	97.9557
GCF_008632635.1	81	500	124519	Blastn(ws=15)	121779	97.7995
GCF_018885085.1	81	500	128151	Blastn(ws=15)	124937	97.4920
GCF_022869705.1	81	500	89765	Blastn(ws=15)	87849	97.8655
GCF_000005845.2	81	1000	46413	Blastn(ws=15)	46391	99.9526
GCF_000006765.1	81	1000	62643	Blastn(ws=15)	62614	99.9537
GCF_000006945.2	81	1000	49513	Blastn(ws=15)	49489	99.9515
GCF_000013425.1	81	1000	28212	Blastn(ws=15)	28201	99.9610
GCF_000195955.2	81	1000	44115	Blastn(ws=15)	44090	99.9433
GCF_000240185.1	81	1000	56831	Blastn(ws=15)	56804	99.9525
GCF_001457635.1	81	1000	21109	Blastn(ws=15)	21090	99.9100
GCF_008632635.1	81	1000	39803	Blastn(ws=15)	39780	99.9422
GCF_018885085.1	81	1000	40955	Blastn(ws=15)	40923	99.9219
GCF_022869705.1	81	1000	28669	Blastn(ws=15)	28649	99.9302
GCF_000005845.2	81	2000	69641	Blastn(ws=15)	69622	99.9727
GCF_000006765.1	81	2000	93977	Blastn(ws=15)	93956	99.9777
GCF_000006945.2	81	2000	74288	Blastn(ws=15)	74268	99.9731
GCF_000013425.1	81	2000	42329	Blastn(ws=15)	42314	99.9646
GCF_000195955.2	81	2000	66180	Blastn(ws=15)	66156	99.9637
GCF_000240185.1	81	2000	85294	Blastn(ws=15)	85280	99.9836
GCF_001457635.1	81	2000	31675	Blastn(ws=15)	31667	99.9747
GCF_008632635.1	81	2000	59715	Blastn(ws=15)	59703	99.9799
GCF_018885085.1	81	2000	61453	Blastn(ws=15)	61440	99.9788
GCF_022869705.1	81	2000	43015	Blastn(ws=15)	43005	99.9768
GCF_000005845.2	82	250	295570	Blastn(ws=15)	263173	89.0391
GCF_000006765.1	82	250	398687	Blastn(ws=15)	354968	89.0343
GCF_000006945.2	82	250	315949	Blastn(ws=15)	281331	89.0432
GCF_000013425.1	82	250	179572	Blastn(ws=15)	159681	88.9231
GCF_000195955.2	82	250	281639	Blastn(ws=15)	250513	88.9483
GCF_000240185.1	82	250	361892	Blastn(ws=15)	322310	89.0625
GCF_001457635.1	82	250	134638	Blastn(ws=15)	119665	88.8791
GCF_008632635.1	82	250	253416	Blastn(ws=15)	225325	88.9151
GCF_018885085.1	82	250	260977	Blastn(ws=15)	229272	87.8514
GCF_022869705.1	82	250	183034	Blastn(ws=15)	162150	88.5901
GCF_000005845.2	82	500	145348	Blastn(ws=15)	144193	99.2054
GCF_000006765.1	82	500	196284	Blastn(ws=15)	194643	99.1640
GCF_000006945.2	82	500	154599	Blastn(ws=15)	153373	99.2070
GCF_000013425.1	82	500	88185	Blastn(ws=15)	87442	99.1575
GCF_000195955.2	82	500	138176	Blastn(ws=15)	137064	99.1952
GCF_000240185.1	82	500	178142	Blastn(ws=15)	176758	99.2231
GCF_001457635.1	82	500	66079	Blastn(ws=15)	65565	99.2221
GCF_008632635.1	82	500	124962	Blastn(ws=15)	123895	99.1461
GCF_018885085.1	82	500	128000	Blastn(ws=15)	126615	98.9180
GCF_022869705.1	82	500	89984	Blastn(ws=15)	89162	99.0865
GCF_000005845.2	82	1000	46417	Blastn(ws=15)	46409	99.9828
GCF_000006765.1	82	1000	62644	Blastn(ws=15)	62629	99.9761
GCF_000006945.2	82	1000	49512	Blastn(ws=15)	49497	99.9697
GCF_000013425.1	82	1000	28216	Blastn(ws=15)	28209	99.9752
GCF_000195955.2	82	1000	44117	Blastn(ws=15)	44105	99.9728
GCF_000240185.1	82	1000	56822	Blastn(ws=15)	56806	99.9718
GCF_001457635.1	82	1000	21114	Blastn(ws=15)	21105	99.9574
GCF_008632635.1	82	1000	39799	Blastn(ws=15)	39786	99.9673
GCF_018885085.1	82	1000	40957	Blastn(ws=15)	40932	99.9390
GCF_022869705.1	82	1000	28675	Blastn(ws=15)	28665	99.9651
GCF_000005845.2	82	2000	69637	Blastn(ws=15)	69616	99.9698
GCF_000006765.1	82	2000	93980	Blastn(ws=15)	93968	99.9872
GCF_000006945.2	82	2000	74301	Blastn(ws=15)	74285	99.9785
GCF_000013425.1	82	2000	42331	Blastn(ws=15)	42315	99.9622
GCF_000195955.2	82	2000	66183	Blastn(ws=15)	66175	99.9879
GCF_000240185.1	82	2000	85295	Blastn(ws=15)	85273	99.9742
GCF_001457635.1	82	2000	31673	Blastn(ws=15)	31663	99.9684
GCF_008632635.1	82	2000	59724	Blastn(ws=15)	59711	99.9782
GCF_018885085.1	82	2000	61449	Blastn(ws=15)	61432	99.9723
GCF_022869705.1	82	2000	43018	Blastn(ws=15)	43007	99.9744
GCF_000005845.2	83	250	295927	Blastn(ws=15)	277088	93.6339
GCF_000006765.1	83	250	400116	Blastn(ws=15)	374499	93.5976
GCF_000006945.2	83	250	316836	Blastn(ws=15)	296659	93.6317
GCF_000013425.1	83	250	180476	Blastn(ws=15)	168975	93.6274
GCF_000195955.2	83	250	282368	Blastn(ws=15)	263942	93.4745
GCF_000240185.1	83	250	363137	Blastn(ws=15)	340240	93.6947
GCF_001457635.1	83	250	134984	Blastn(ws=15)	126435	93.6667
GCF_008632635.1	83	250	254380	Blastn(ws=15)	238117	93.6068
GCF_018885085.1	83	250	261728	Blastn(ws=15)	242560	92.6764
GCF_022869705.1	83	250	183598	Blastn(ws=15)	171364	93.3365
GCF_000005845.2	83	500	145594	Blastn(ws=15)	145249	99.7630
GCF_000006765.1	83	500	196898	Blastn(ws=15)	196414	99.7542
GCF_000006945.2	83	500	155331	Blastn(ws=15)	154929	99.7412
GCF_000013425.1	83	500	88832	Blastn(ws=15)	88575	99.7107
GCF_000195955.2	83	500	138645	Blastn(ws=15)	138254	99.7180
GCF_000240185.1	83	500	178257	Blastn(ws=15)	177844	99.7683
GCF_001457635.1	83	500	66451	Blastn(ws=15)	66272	99.7306
GCF_008632635.1	83	500	125111	Blastn(ws=15)	124777	99.7330
GCF_018885085.1	83	500	128374	Blastn(ws=15)	127852	99.5934
GCF_022869705.1	83	500	89947	Blastn(ws=15)	89705	99.7310
GCF_000005845.2	83	1000	46417	Blastn(ws=15)	46404	99.9720
GCF_000006765.1	83	1000	62652	Blastn(ws=15)	62636	99.9745
GCF_000006945.2	83	1000	49510	Blastn(ws=15)	49496	99.9717
GCF_000013425.1	83	1000	28215	Blastn(ws=15)	28204	99.9610
GCF_000195955.2	83	1000	44116	Blastn(ws=15)	44112	99.9909
GCF_000240185.1	83	1000	56820	Blastn(ws=15)	56811	99.9842
GCF_001457635.1	83	1000	21110	Blastn(ws=15)	21104	99.9716
GCF_008632635.1	83	1000	39802	Blastn(ws=15)	39786	99.9598
GCF_018885085.1	83	1000	40962	Blastn(ws=15)	40946	99.9609
GCF_022869705.1	83	1000	28668	Blastn(ws=15)	28661	99.9756
GCF_000005845.2	83	2000	69635	Blastn(ws=15)	69623	99.9828
