assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	Ropebwt3	34489	11.6639
GCF_000006765.1	80	250	397873	Ropebwt3	39998	10.0530
GCF_000006945.2	80	250	314154	Ropebwt3	36510	11.6217
GCF_000013425.1	80	250	179360	Ropebwt3	21610	12.0484
GCF_000195955.2	80	250	280444	Ropebwt3	30126	10.7423
GCF_000240185.1	80	250	361034	Ropebwt3	40601	11.2458
GCF_001457635.1	80	250	134184	Ropebwt3	16514	12.3070
GCF_008632635.1	80	250	252645	Ropebwt3	30607	12.1146
GCF_018885085.1	80	250	260635	Ropebwt3	29154	11.1858
GCF_022869705.1	80	250	182293	Ropebwt3	22881	12.5518
GCF_000005845.2	80	500	145084	Ropebwt3	49574	34.1692
GCF_000006765.1	80	500	195837	Ropebwt3	59326	30.2936
GCF_000006945.2	80	500	154570	Ropebwt3	52420	33.9134
GCF_000013425.1	80	500	88343	Ropebwt3	30854	34.9252
GCF_000195955.2	80	500	137930	Ropebwt3	44059	31.9430
GCF_000240185.1	80	500	177725	Ropebwt3	58392	32.8553
GCF_001457635.1	80	500	66150	Ropebwt3	23588	35.6584
GCF_008632635.1	80	500	124422	Ropebwt3	44219	35.5395
GCF_018885085.1	80	500	127581	Ropebwt3	41737	32.7141
GCF_022869705.1	80	500	89331	Ropebwt3	32341	36.2036
GCF_000005845.2	80	1000	46410	Ropebwt3	30417	65.5398
GCF_000006765.1	80	1000	62641	Ropebwt3	37852	60.4269
GCF_000006945.2	80	1000	49510	Ropebwt3	32434	65.5100
GCF_000013425.1	80	1000	28215	Ropebwt3	18689	66.2378
GCF_000195955.2	80	1000	44116	Ropebwt3	27698	62.7845
GCF_000240185.1	80	1000	56823	Ropebwt3	36057	63.4549
GCF_001457635.1	80	1000	21111	Ropebwt3	14311	67.7893
GCF_008632635.1	80	1000	39801	Ropebwt3	26647	66.9506
GCF_018885085.1	80	1000	40961	Ropebwt3	26039	63.5702
GCF_022869705.1	80	1000	28672	Ropebwt3	19680	68.6384
GCF_000005845.2	80	2000	69632	Ropebwt3	62499	89.7561
GCF_000006765.1	80	2000	93974	Ropebwt3	81729	86.9698
GCF_000006945.2	80	2000	74284	Ropebwt3	66659	89.7353
GCF_000013425.1	80	2000	42327	Ropebwt3	38241	90.3466
GCF_000195955.2	80	2000	66179	Ropebwt3	58450	88.3211
GCF_000240185.1	80	2000	85293	Ropebwt3	75445	88.4539
GCF_001457635.1	80	2000	31671	Ropebwt3	28614	90.3476
GCF_008632635.1	80	2000	59718	Ropebwt3	54106	90.6025
GCF_018885085.1	80	2000	61453	Ropebwt3	54455	88.6124
GCF_022869705.1	80	2000	43014	Ropebwt3	39386	91.5655
GCF_000005845.2	81	250	295054	Ropebwt3	59113	20.0346
GCF_000006765.1	81	250	398898	Ropebwt3	69610	17.4506
GCF_000006945.2	81	250	314883	Ropebwt3	62664	19.9007
GCF_000013425.1	81	250	179402	Ropebwt3	36764	20.4925
GCF_000195955.2	81	250	280560	Ropebwt3	52255	18.6252
GCF_000240185.1	81	250	361196	Ropebwt3	69181	19.1533
GCF_001457635.1	81	250	134496	Ropebwt3	28740	21.3687
GCF_008632635.1	81	250	253458	Ropebwt3	52601	20.7533
GCF_018885085.1	81	250	261243	Ropebwt3	49943	19.1175
GCF_022869705.1	81	250	182164	Ropebwt3	39181	21.5086
GCF_000005845.2	81	500	145120	Ropebwt3	76676	52.8363
GCF_000006765.1	81	500	196152	Ropebwt3	93163	47.4953
GCF_000006945.2	81	500	154688	Ropebwt3	81422	52.6363
GCF_000013425.1	81	500	88088	Ropebwt3	47465	53.8836
GCF_000195955.2	81	500	138101	Ropebwt3	68691	49.7397
GCF_000240185.1	81	500	177506	Ropebwt3	89971	50.6862
GCF_001457635.1	81	500	65987	Ropebwt3	36173	54.8184
GCF_008632635.1	81	500	124519	Ropebwt3	67414	54.1395
GCF_018885085.1	81	500	128151	Ropebwt3	65595	51.1857
GCF_022869705.1	81	500	89765	Ropebwt3	50052	55.7589
GCF_000005845.2	81	1000	46413	Ropebwt3	39284	84.6401
GCF_000006765.1	81	1000	62643	Ropebwt3	50388	80.4368
GCF_000006945.2	81	1000	49513	Ropebwt3	41934	84.6929
GCF_000013425.1	81	1000	28212	Ropebwt3	24101	85.4282
GCF_000195955.2	81	1000	44115	Ropebwt3	36237	82.1421
GCF_000240185.1	81	1000	56831	Ropebwt3	47267	83.1712
GCF_001457635.1	81	1000	21109	Ropebwt3	18126	85.8686
GCF_008632635.1	81	1000	39803	Ropebwt3	34224	85.9835
GCF_018885085.1	81	1000	40955	Ropebwt3	33928	82.8421
GCF_022869705.1	81	1000	28669	Ropebwt3	24920	86.9232
GCF_000005845.2	81	2000	69641	Ropebwt3	67665	97.1626
GCF_000006765.1	81	2000	93977	Ropebwt3	90787	96.6056
GCF_000006945.2	81	2000	74288	Ropebwt3	72297	97.3199
GCF_000013425.1	81	2000	42329	Ropebwt3	41404	97.8147
