assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	Blastn	6886	2.33
GCF_000006765.1	80	250	397873	Blastn	9175	2.31
GCF_000006945.2	80	250	314154	Blastn	7298	2.32
GCF_000013425.1	80	250	179360	Blastn	4105	2.29
GCF_000195955.2	80	250	280444	Blastn	6597	2.35
GCF_000240185.1	80	250	361034	Blastn	8345	2.31
GCF_001457635.1	80	250	134184	Blastn	3095	2.31
GCF_008632635.1	80	250	252645	Blastn	5697	2.25
GCF_018885085.1	80	250	260635	Blastn	5724	2.20
GCF_022869705.1	80	250	182293	Blastn	4108	2.25
GCF_000005845.2	80	500	145084	Blastn	8809	6.07
GCF_000006765.1	80	500	195837	Blastn	12005	6.13
GCF_000006945.2	80	500	154570	Blastn	9326	6.03
GCF_000013425.1	80	500	88343	Blastn	5326	6.03
GCF_000195955.2	80	500	137930	Blastn	8431	6.11
GCF_000240185.1	80	500	177725	Blastn	10784	6.07
GCF_001457635.1	80	500	66150	Blastn	3995	6.04
GCF_008632635.1	80	500	124422	Blastn	7505	6.03
GCF_018885085.1	80	500	127581	Blastn	7206	5.65
GCF_022869705.1	80	500	89331	Blastn	5205	5.83
GCF_000005845.2	80	1000	46410	Blastn	6293	13.56
GCF_000006765.1	80	1000	62641	Blastn	8637	13.79
GCF_000006945.2	80	1000	49510	Blastn	6609	13.35
GCF_000013425.1	80	1000	28215	Blastn	3685	13.06
GCF_000195955.2	80	1000	44116	Blastn	6097	13.82
GCF_000240185.1	80	1000	56823	Blastn	7704	13.56
GCF_001457635.1	80	1000	21111	Blastn	2844	13.47
GCF_008632635.1	80	1000	39801	Blastn	5262	13.22
GCF_018885085.1	80	1000	40961	Blastn	5104	12.46
GCF_022869705.1	80	1000	28672	Blastn	3700	12.90
GCF_000005845.2	80	2000	69632	Blastn	19190	27.56
GCF_000006765.1	80	2000	93974	Blastn	25992	27.66
GCF_000006945.2	80	2000	74284	Blastn	20452	27.53
GCF_000013425.1	80	2000	42327	Blastn	11458	27.07
GCF_000195955.2	80	2000	66179	Blastn	18123	27.38
GCF_000240185.1	80	2000	85293	Blastn	23523	27.58
GCF_001457635.1	80	2000	31671	Blastn	8730	27.56
GCF_008632635.1	80	2000	59718	Blastn	16278	27.26
GCF_018885085.1	80	2000	61453	Blastn	15764	25.65
GCF_022869705.1	80	2000	43014	Blastn	11621	27.02
GCF_000005845.2	81	250	295054	Blastn	10691	3.62
GCF_000006765.1	81	250	398898	Blastn	14478	3.63
GCF_000006945.2	81	250	314883	Blastn	11262	3.58
GCF_000013425.1	81	250	179402	Blastn	6309	3.52
GCF_000195955.2	81	250	280560	Blastn	10151	3.62
GCF_000240185.1	81	250	361196	Blastn	12847	3.56
GCF_001457635.1	81	250	134496	Blastn	4800	3.57
GCF_008632635.1	81	250	253458	Blastn	8954	3.53
GCF_018885085.1	81	250	261243	Blastn	8910	3.41
GCF_022869705.1	81	250	182164	Blastn	6404	3.52
GCF_000005845.2	81	500	145120	Blastn	13506	9.31
GCF_000006765.1	81	500	196152	Blastn	18289	9.32
GCF_000006945.2	81	500	154688	Blastn	14337	9.27
GCF_000013425.1	81	500	88088	Blastn	7947	9.02
GCF_000195955.2	81	500	138101	Blastn	12976	9.40
GCF_000240185.1	81	500	177506	Blastn	16516	9.30
GCF_001457635.1	81	500	65987	Blastn	6142	9.31
GCF_008632635.1	81	500	124519	Blastn	11413	9.17
GCF_018885085.1	81	500	128151	Blastn	11219	8.75
GCF_022869705.1	81	500	89765	Blastn	8158	9.09
GCF_000005845.2	81	1000	46413	Blastn	9299	20.04
GCF_000006765.1	81	1000	62643	Blastn	12528	20.00
GCF_000006945.2	81	1000	49513	Blastn	9858	19.91
GCF_000013425.1	81	1000	28212	Blastn	5546	19.66
