query	Blastn	LexicMap
GCF_000005845.2	99.5854	99.5914
GCF_000006765.1	99.2173	99.2173
GCF_000006945.2	99.5661	99.5734
GCF_000013425.1	99.7259	99.7259
GCF_000195955.2	99.8317	99.8317
GCF_000240185.1	99.2849	99.2782
GCF_001457635.1	99.9775	99.9325
GCF_008632635.1	99.6800	99.6218
GCF_018885085.1	98.6672	98.6672
GCF_022869705.1	99.8704	99.9136
