tool	assembly	queries	hits	recall
Blastn	GCF_000005845.2	15208	14932	98.19
Blastn	GCF_000006765.1	20695	20299	98.09
Blastn	GCF_000006945.2	16259	15945	98.07
Blastn	GCF_000013425.1	9316	9132	98.02
Blastn	GCF_000195955.2	14526	14235	98.00
Blastn	GCF_000240185.1	18876	18489	97.95
Blastn	GCF_001457635.1	6966	6827	98.00
Blastn	GCF_008632635.1	13145	12909	98.20
Blastn	GCF_018885085.1	13477	13199	97.94
Blastn	GCF_022869705.1	9258	9099	98.28
LexicMap	GCF_000005845.2	15208	14863	97.73
LexicMap	GCF_000006765.1	20695	20134	97.29
LexicMap	GCF_000006945.2	16259	15874	97.63
LexicMap	GCF_000013425.1	9316	9117	97.86
LexicMap	GCF_000195955.2	14526	14178	97.60
LexicMap	GCF_000240185.1	18876	18373	97.34
LexicMap	GCF_001457635.1	6966	6824	97.96
LexicMap	GCF_008632635.1	13145	12868	97.89
LexicMap	GCF_018885085.1	13477	13141	97.51
LexicMap	GCF_022869705.1	9258	9089	98.17
minimap2	GCF_000005845.2	15208	14932	98.19
minimap2	GCF_000006765.1	20695	20298	98.08
minimap2	GCF_000006945.2	16259	15945	98.07
minimap2	GCF_000013425.1	9316	9132	98.02
minimap2	GCF_000195955.2	14526	14237	98.01
minimap2	GCF_000240185.1	18876	18490	97.96
minimap2	GCF_001457635.1	6966	6829	98.03
minimap2	GCF_008632635.1	13145	12909	98.20
minimap2	GCF_018885085.1	13477	13199	97.94
minimap2	GCF_022869705.1	9258	9101	98.30
