assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	LexicMap	25811	8.7291
GCF_000006765.1	80	250	397873	LexicMap	33589	8.4421
GCF_000006945.2	80	250	314154	LexicMap	27387	8.7177
GCF_000013425.1	80	250	179360	LexicMap	16126	8.9909
GCF_000195955.2	80	250	280444	LexicMap	24442	8.7155
GCF_000240185.1	80	250	361034	LexicMap	30696	8.5022
GCF_001457635.1	80	250	134184	LexicMap	12280	9.1516
GCF_008632635.1	80	250	252645	LexicMap	22332	8.8393
GCF_018885085.1	80	250	260635	LexicMap	23690	9.0893
GCF_022869705.1	80	250	182293	LexicMap	16427	9.0113
GCF_000005845.2	80	500	145084	LexicMap	32745	22.5697
GCF_000006765.1	80	500	195837	LexicMap	43313	22.1169
GCF_000006945.2	80	500	154570	LexicMap	34673	22.4319
GCF_000013425.1	80	500	88343	LexicMap	20447	23.1450
GCF_000195955.2	80	500	137930	LexicMap	31194	22.6158
GCF_000240185.1	80	500	177725	LexicMap	39900	22.4504
GCF_001457635.1	80	500	66150	LexicMap	15503	23.4361
GCF_008632635.1	80	500	124422	LexicMap	28654	23.0297
GCF_018885085.1	80	500	127581	LexicMap	29354	23.0081
GCF_022869705.1	80	500	89331	LexicMap	20673	23.1420
GCF_000005845.2	80	1000	46410	LexicMap	20509	44.1909
GCF_000006765.1	80	1000	62641	LexicMap	26779	42.7500
GCF_000006945.2	80	1000	49510	LexicMap	21819	44.0699
GCF_000013425.1	80	1000	28215	LexicMap	12724	45.0966
GCF_000195955.2	80	1000	44116	LexicMap	19309	43.7687
GCF_000240185.1	80	1000	56823	LexicMap	24746	43.5493
GCF_001457635.1	80	1000	21111	LexicMap	9702	45.9571
GCF_008632635.1	80	1000	39801	LexicMap	17815	44.7602
GCF_018885085.1	80	1000	40961	LexicMap	17915	43.7367
GCF_022869705.1	80	1000	28672	LexicMap	12837	44.7719
GCF_000005845.2	80	2000	69632	LexicMap	49137	70.5667
GCF_000006765.1	80	2000	93974	LexicMap	64475	68.6094
GCF_000006945.2	80	2000	74284	LexicMap	52175	70.2372
GCF_000013425.1	80	2000	42327	LexicMap	29915	70.6759
GCF_000195955.2	80	2000	66179	LexicMap	46016	69.5326
GCF_000240185.1	80	2000	85293	LexicMap	59582	69.8557
GCF_001457635.1	80	2000	31671	LexicMap	22763	71.8733
GCF_008632635.1	80	2000	59718	LexicMap	42174	70.6219
GCF_018885085.1	80	2000	61453	LexicMap	42682	69.4547
GCF_022869705.1	80	2000	43014	LexicMap	30658	71.2745
GCF_000005845.2	81	250	295054	LexicMap	36217	12.2747
GCF_000006765.1	81	250	398898	LexicMap	47881	12.0033
GCF_000006945.2	81	250	314883	LexicMap	37936	12.0476
GCF_000013425.1	81	250	179402	LexicMap	22346	12.4558
GCF_000195955.2	81	250	280560	LexicMap	34051	12.1368
GCF_000240185.1	81	250	361196	LexicMap	43590	12.0682
GCF_001457635.1	81	250	134496	LexicMap	17192	12.7825
GCF_008632635.1	81	250	253458	LexicMap	31352	12.3697
GCF_018885085.1	81	250	261243	LexicMap	32843	12.5718
GCF_022869705.1	81	250	182164	LexicMap	22809	12.5211
GCF_000005845.2	81	500	145120	LexicMap	42809	29.4990
GCF_000006765.1	81	500	196152	LexicMap	56548	28.8287
GCF_000006945.2	81	500	154688	LexicMap	45277	29.2699
GCF_000013425.1	81	500	88088	LexicMap	26443	30.0188
GCF_000195955.2	81	500	138101	LexicMap	40441	29.2836
GCF_000240185.1	81	500	177506	LexicMap	51666	29.1066
GCF_001457635.1	81	500	65987	LexicMap	20009	30.3226
GCF_008632635.1	81	500	124519	LexicMap	37112	29.8043
GCF_018885085.1	81	500	128151	LexicMap	38379	29.9483
GCF_022869705.1	81	500	89765	LexicMap	26985	30.0618
GCF_000005845.2	81	1000	46413	LexicMap	25352	54.6226
GCF_000006765.1	81	1000	62643	LexicMap	33414	53.3404
GCF_000006945.2	81	1000	49513	LexicMap	26855	54.2383
GCF_000013425.1	81	1000	28212	LexicMap	15536	55.0688
GCF_000195955.2	81	1000	44115	LexicMap	23924	54.2310
GCF_000240185.1	81	1000	56831	LexicMap	30601	53.8456
GCF_001457635.1	81	1000	21109	LexicMap	11789	55.8482
GCF_008632635.1	81	1000	39803	LexicMap	21869	54.9431
GCF_018885085.1	81	1000	40955	LexicMap	22302	54.4549
