assembly	ident	qlen	queries	tool	hits	recall
GCF_000005845.2	80	250	295690	MMseqs2	77281	26.1358
GCF_000006765.1	80	250	397873	MMseqs2	101072	25.4031
GCF_000006945.2	80	250	314154	MMseqs2	82147	26.1486
GCF_000013425.1	80	250	179360	MMseqs2	48158	26.8499
GCF_000195955.2	80	250	280444	MMseqs2	69863	24.9116
GCF_000240185.1	80	250	361034	MMseqs2	93754	25.9682
GCF_001457635.1	80	250	134184	MMseqs2	35845	26.7133
GCF_008632635.1	80	250	252645	MMseqs2	67703	26.7977
GCF_018885085.1	80	250	260635	MMseqs2	69891	26.8157
GCF_022869705.1	80	250	182293	MMseqs2	49913	27.3806
GCF_000005845.2	80	500	145084	MMseqs2	74950	51.6597
GCF_000006765.1	80	500	195837	MMseqs2	99166	50.6370
GCF_000006945.2	80	500	154570	MMseqs2	79497	51.4311
GCF_000013425.1	80	500	88343	MMseqs2	46089	52.1705
GCF_000195955.2	80	500	137930	MMseqs2	68825	49.8985
GCF_000240185.1	80	500	177725	MMseqs2	91473	51.4688
GCF_001457635.1	80	500	66150	MMseqs2	34550	52.2298
GCF_008632635.1	80	500	124422	MMseqs2	65329	52.5060
GCF_018885085.1	80	500	127581	MMseqs2	66291	51.9599
GCF_022869705.1	80	500	89331	MMseqs2	47945	53.6712
GCF_000005845.2	80	1000	46410	MMseqs2	37173	80.0970
GCF_000006765.1	80	1000	62641	MMseqs2	49220	78.5747
GCF_000006945.2	80	1000	49510	MMseqs2	39599	79.9818
GCF_000013425.1	80	1000	28215	MMseqs2	22682	80.3899
GCF_000195955.2	80	1000	44116	MMseqs2	34417	78.0148
GCF_000240185.1	80	1000	56823	MMseqs2	45305	79.7300
GCF_001457635.1	80	1000	21111	MMseqs2	17027	80.6546
GCF_008632635.1	80	1000	39801	MMseqs2	32133	80.7342
GCF_018885085.1	80	1000	40961	MMseqs2	32518	79.3877
GCF_022869705.1	80	1000	28672	MMseqs2	23394	81.5918
GCF_000005845.2	80	2000	69632	MMseqs2	67103	96.3680
GCF_000006765.1	80	2000	93974	MMseqs2	89960	95.7286
GCF_000006945.2	80	2000	74284	MMseqs2	71450	96.1849
GCF_000013425.1	80	2000	42327	MMseqs2	40736	96.2412
GCF_000195955.2	80	2000	66179	MMseqs2	63045	95.2644
GCF_000240185.1	80	2000	85293	MMseqs2	81979	96.1146
GCF_001457635.1	80	2000	31671	MMseqs2	30532	96.4037
GCF_008632635.1	80	2000	59718	MMseqs2	57553	96.3746
GCF_018885085.1	80	2000	61453	MMseqs2	58963	95.9481
GCF_022869705.1	80	2000	43014	MMseqs2	41641	96.8080
GCF_000005845.2	81	250	295054	MMseqs2	100984	34.2256
GCF_000006765.1	81	250	398898	MMseqs2	132583	33.2373
GCF_000006945.2	81	250	314883	MMseqs2	107349	34.0917
GCF_000013425.1	81	250	179402	MMseqs2	62190	34.6652
GCF_000195955.2	81	250	280560	MMseqs2	91917	32.7620
GCF_000240185.1	81	250	361196	MMseqs2	122051	33.7908
GCF_001457635.1	81	250	134496	MMseqs2	46512	34.5824
GCF_008632635.1	81	250	253458	MMseqs2	88310	34.8421
GCF_018885085.1	81	250	261243	MMseqs2	90314	34.5709
GCF_022869705.1	81	250	182164	MMseqs2	64469	35.3906
GCF_000005845.2	81	500	145120	MMseqs2	92026	63.4137
GCF_000006765.1	81	500	196152	MMseqs2	121105	61.7404
GCF_000006945.2	81	500	154688	MMseqs2	97794	63.2202
GCF_000013425.1	81	500	88088	MMseqs2	56337	63.9554
GCF_000195955.2	81	500	138101	MMseqs2	84358	61.0843
GCF_000240185.1	81	500	177506	MMseqs2	111220	62.6570
GCF_001457635.1	81	500	65987	MMseqs2	41986	63.6277
GCF_008632635.1	81	500	124519	MMseqs2	79342	63.7188
GCF_018885085.1	81	500	128151	MMseqs2	81391	63.5118
GCF_022869705.1	81	500	89765	MMseqs2	58481	65.1490
GCF_000005845.2	81	1000	46413	MMseqs2	41231	88.8350
GCF_000006765.1	81	1000	62643	MMseqs2	55025	87.8390
GCF_000006945.2	81	1000	49513	MMseqs2	43903	88.6696
GCF_000013425.1	81	1000	28212	MMseqs2	25134	89.0897
GCF_000195955.2	81	1000	44115	MMseqs2	38418	87.0860
GCF_000240185.1	81	1000	56831	MMseqs2	50361	88.6154
GCF_001457635.1	81	1000	21109	MMseqs2	18792	89.0236
GCF_008632635.1	81	1000	39803	MMseqs2	35569	89.3626
GCF_018885085.1	81	1000	40955	MMseqs2	36241	88.4898
GCF_022869705.1	81	1000	28669	MMseqs2	25885	90.2892
GCF_000005845.2	81	2000	69641	MMseqs2	68764	98.7407
GCF_000006765.1	81	2000	93977	MMseqs2	92617	98.5528
GCF_000006945.2	81	2000	74288	MMseqs2	73294	98.6620
GCF_000013425.1	81	2000	42329	MMseqs2	41729	98.5825
GCF_000195955.2	81	2000	66180	MMseqs2	64972	98.1747
GCF_000240185.1	81	2000	85294	MMseqs2	84183	98.6974
GCF_001457635.1	81	2000	31675	MMseqs2	31189	98.4657
GCF_008632635.1	81	2000	59715	MMseqs2	58897	98.6302
GCF_018885085.1	81	2000	61453	MMseqs2	60332	98.1758
GCF_022869705.1	81	2000	43015	MMseqs2	42582	98.9934
GCF_000005845.2	82	250	295570	MMseqs2	127461	43.1238
GCF_000006765.1	82	250	398687	MMseqs2	168247	42.2003
GCF_000006945.2	82	250	315949	MMseqs2	136079	43.0699
GCF_000013425.1	82	250	179572	MMseqs2	78342	43.6271
GCF_000195955.2	82	250	281639	MMseqs2	116743	41.4513
GCF_000240185.1	82	250	361892	MMseqs2	155010	42.8332
GCF_001457635.1	82	250	134638	MMseqs2	58833	43.6972
GCF_008632635.1	82	250	253416	MMseqs2	111487	43.9937
GCF_018885085.1	82	250	260977	MMseqs2	113410	43.4559
GCF_022869705.1	82	250	183034	MMseqs2	81425	44.4863
GCF_000005845.2	82	500	145348	MMseqs2	107626	74.0471
GCF_000006765.1	82	500	196284	MMseqs2	142646	72.6733
GCF_000006945.2	82	500	154599	MMseqs2	114384	73.9875
GCF_000013425.1	82	500	88185	MMseqs2	65662	74.4594
GCF_000195955.2	82	500	138176	MMseqs2	99525	72.0277
GCF_000240185.1	82	500	178142	MMseqs2	131433	73.7799
GCF_001457635.1	82	500	66079	MMseqs2	49229	74.5002
GCF_008632635.1	82	500	124962	MMseqs2	93382	74.7283
GCF_018885085.1	82	500	128000	MMseqs2	94720	74.0000
GCF_022869705.1	82	500	89984	MMseqs2	67593	75.1167
GCF_000005845.2	82	1000	46417	MMseqs2	44011	94.8166
GCF_000006765.1	82	1000	62644	MMseqs2	59056	94.2724
GCF_000006945.2	82	1000	49512	MMseqs2	46950	94.8255
GCF_000013425.1	82	1000	28216	MMseqs2	26805	94.9993
GCF_000195955.2	82	1000	44117	MMseqs2	41244	93.4878
GCF_000240185.1	82	1000	56822	MMseqs2	53757	94.6060
GCF_001457635.1	82	1000	21114	MMseqs2	19970	94.5818
GCF_008632635.1	82	1000	39799	MMseqs2	37836	95.0677
GCF_018885085.1	82	1000	40957	MMseqs2	38603	94.2525
GCF_022869705.1	82	1000	28675	MMseqs2	27392	95.5257
GCF_000005845.2	82	2000	69637	MMseqs2	69412	99.6769
GCF_000006765.1	82	2000	93980	MMseqs2	93494	99.4829
GCF_000006945.2	82	2000	74301	MMseqs2	73963	99.5451
GCF_000013425.1	82	2000	42331	MMseqs2	42131	99.5275
GCF_000195955.2	82	2000	66183	MMseqs2	65716	99.2944
GCF_000240185.1	82	2000	85295	MMseqs2	84920	99.5603
GCF_001457635.1	82	2000	31673	MMseqs2	31481	99.3938
GCF_008632635.1	82	2000	59724	MMseqs2	59412	99.4776
GCF_018885085.1	82	2000	61449	MMseqs2	60854	99.0317
GCF_022869705.1	82	2000	43018	MMseqs2	42885	99.6908
GCF_000005845.2	83	250	295927	MMseqs2	157970	53.3814
GCF_000006765.1	83	250	400116	MMseqs2	209304	52.3108
GCF_000006945.2	83	250	316836	MMseqs2	169502	53.4983
GCF_000013425.1	83	250	180476	MMseqs2	97704	54.1368
GCF_000195955.2	83	250	282368	MMseqs2	146122	51.7488
GCF_000240185.1	83	250	363137	MMseqs2	193295	53.2292
GCF_001457635.1	83	250	134984	MMseqs2	72921	54.0220
GCF_008632635.1	83	250	254380	MMseqs2	138468	54.4335
GCF_018885085.1	83	250	261728	MMseqs2	140630	53.7314
GCF_022869705.1	83	250	183598	MMseqs2	100999	55.0109
GCF_000005845.2	83	500	145594	MMseqs2	121957	83.7651
GCF_000006765.1	83	500	196898	MMseqs2	163170	82.8703
GCF_000006945.2	83	500	155331	MMseqs2	130024	83.7077
GCF_000013425.1	83	500	88832	MMseqs2	74641	84.0249
GCF_000195955.2	83	500	138645	MMseqs2	113290	81.7123
GCF_000240185.1	83	500	178257	MMseqs2	148991	83.5821
GCF_001457635.1	83	500	66451	MMseqs2	55834	84.0228
GCF_008632635.1	83	500	125111	MMseqs2	105426	84.2660
GCF_018885085.1	83	500	128374	MMseqs2	107129	83.4507
GCF_022869705.1	83	500	89947	MMseqs2	76392	84.9300
GCF_000005845.2	83	1000	46417	MMseqs2	45544	98.1192
GCF_000006765.1	83	1000	62652	MMseqs2	61185	97.6585
GCF_000006945.2	83	1000	49510	MMseqs2	48434	97.8267
GCF_000013425.1	83	1000	28215	MMseqs2	27623	97.9018
GCF_000195955.2	83	1000	44116	MMseqs2	42844	97.1167
GCF_000240185.1	83	1000	56820	MMseqs2	55679	97.9919
GCF_001457635.1	83	1000	21110	MMseqs2	20662	97.8778
GCF_008632635.1	83	1000	39802	MMseqs2	39030	98.0604
GCF_018885085.1	83	1000	40962	MMseqs2	39779	97.1120
GCF_022869705.1	83	1000	28668	MMseqs2	28190	98.3326
GCF_000005845.2	83	2000	69635	MMseqs2	69546	99.8722
GCF_000006765.1	83	2000	93973	MMseqs2	93785	99.7999
GCF_000006945.2	83	2000	74285	MMseqs2	74120	99.7779
GCF_000013425.1	83	2000	42328	MMseqs2	42169	99.6244
GCF_000195955.2	83	2000	66181	MMseqs2	65936	99.6298
GCF_000240185.1	83	2000	85293	MMseqs2	85113	99.7890
GCF_001457635.1	83	2000	31674	MMseqs2	31562	99.6464
GCF_008632635.1	83	2000	59727	MMseqs2	59550	99.7037
GCF_018885085.1	83	2000	61454	MMseqs2	60997	99.2564
GCF_022869705.1	83	2000	43013	MMseqs2	42958	99.8721
GCF_000005845.2	84	250	297804	MMseqs2	196547	65.9988
GCF_000006765.1	84	250	402072	MMseqs2	259878	64.6347
GCF_000006945.2	84	250	318149	MMseqs2	210120	66.0445
GCF_000013425.1	84	250	181458	MMseqs2	121212	66.7989
GCF_000195955.2	84	250	282879	MMseqs2	180759	63.8998
GCF_000240185.1	84	250	364483	MMseqs2	238983	65.5677
GCF_001457635.1	84	250	135649	MMseqs2	90127	66.4413
GCF_008632635.1	84	250	255815	MMseqs2	171146	66.9023
GCF_018885085.1	84	250	262913	MMseqs2	175281	66.6688
GCF_022869705.1	84	250	184280	MMseqs2	124684	67.6601
GCF_000005845.2	84	500	146000	MMseqs2	133274	91.2836
GCF_000006765.1	84	500	197040	MMseqs2	178358	90.5187
GCF_000006945.2	84	500	155614	MMseqs2	141879	91.1737
GCF_000013425.1	84	500	88756	MMseqs2	81041	91.3076
GCF_000195955.2	84	500	138646	MMseqs2	124133	89.5323
GCF_000240185.1	84	500	179046	MMseqs2	162989	91.0319
GCF_001457635.1	84	500	66228	MMseqs2	60370	91.1548
GCF_008632635.1	84	500	124818	MMseqs2	114166	91.4660
GCF_018885085.1	84	500	128781	MMseqs2	117020	90.8674
GCF_022869705.1	84	500	90332	MMseqs2	83144	92.0427
GCF_000005845.2	84	1000	46415	MMseqs2	46115	99.3537
GCF_000006765.1	84	1000	62645	MMseqs2	62144	99.2003
